extrusion ratio,Mg(wt.%),extrusion temperature(°Ê),homogenization time(h),Y(wt.%),Zn(wt.%),aging time(h)
0.0,99.27,0,0,0.73,0.0,0.0
0.0,98.77,0,0,1.23,0.0,0.0
0.0,96.92,0,0,3.08,0.0,0.0
0.0,95.33,0,0,4.67,0.0,0.0
0.0,93.45,0,0,6.55,0.0,0.0
0.0,98.99,0,0,1.01,0.0,0.0
25.0,97.0,350,8,3.0,0.0,0.0
0.0,98.0,0,0,2.0,0.0,0.0
0.0,98.13,0,0,0.0,0.0,0.0
0.0,98.13,0,0,0.0,0.0,0.0
0.0,98.13,0,0,0.0,0.0,6.0
0.0,95.33,0,0,0.0,0.0,0.0
0.0,95.33,0,0,0.0,0.0,0.0
0.0,95.33,0,0,0.0,0.0,6.0
0.0,90.8,0,0,0.0,0.0,0.0
0.0,90.8,0,0,0.0,0.0,0.0
0.0,90.8,0,0,0.0,0.0,6.0
0.0,85.95,0,0,0.0,0.0,0.0
0.0,85.95,0,0,0.0,0.0,0.0
0.0,85.95,0,0,0.0,0.0,6.0
0.0,96.89,0,0,0.0,0.0,0.0
0.0,94.27,0,0,0.0,0.0,0.0
0.0,90.72,0,0,0.0,0.0,0.0
0.0,85.8,0,0,0.0,0.0,0.0
0.0,80.4,0,0,0.0,0.0,0.0
0.0,80.0,0,0,0.0,0.0,0.0
30.0,98.45,450,0,0.0,0.0,0.0
30.0,98.45,450,0,0.0,0.0,0.0
0.0,98.8,0,0,0.0,0.0,0.0
0.0,98.15,0,0,0.0,0.0,0.0
0.0,96.41,0,0,0.0,0.0,0.0
16.0,98.0,380,0,0.0,0.0,0.0
10.0,97.6,310,0,0.0,2.0,0.0
10.0,97.6,310,0,0.4,2.0,0.0
10.0,97.6,310,0,0.0,2.0,0.0
25.0,82.3,430,0,3.3,14.4,0.0
25.0,82.3,300,0,3.3,14.4,30.0
0.0,99.1,0,0,0.4,0.0,0.0
0.0,99.1,0,0,0.0,0.0,0.0
0.0,91.4,0,0,0.0,0.0,0.0
0.0,91.4,0,0,0.0,0.0,90.0
0.0,86.6,0,0,3.0,0.0,0.0
0.0,86.6,0,0,3.0,0.0,0.0
0.0,86.6,0,0,3.0,0.0,30.0
0.0,93.0,0,0,4.0,0.2,0.0
0.0,93.0,0,0,4.0,0.2,0.0
0.0,93.0,0,0,4.0,0.2,70.0
0.0,93.0,0,0,4.0,0.2,20.0
0.0,93.0,0,0,4.0,0.2,5.0
8.0,96.7,250,0,0.0,0.2,0.0
8.0,96.7,250,0,0.0,0.2,8.0
8.0,96.7,250,0,0.0,0.2,0.0
8.0,96.7,250,0,0.0,0.2,8.0
10.0,96.25,350,0,0.0,0.22,0.0
8.0,96.66,350,0,0.0,0.16,0.0
8.0,96.66,350,0,0.0,0.16,0.0
0.0,95.0,0,0,0.0,1.6,0.0
8.0,97.21,290,0,0.0,0.11,0.0
8.0,96.69,350,0,0.0,0.2,0.0
0.0,96.1,0,0,0.0,0.4,16.0
0.0,98.7,0,0,0.4,0.0,0.0
0.0,91.5,0,0,0.0,0.0,0.0
0.0,91.5,0,0,0.0,0.0,24.0
9.3,91.5,450,6,0.0,0.0,0.0
9.3,91.5,350,6,0.0,0.0,0.0
9.3,91.5,450,6,0.0,0.0,24.0
9.3,91.5,350,6,0.0,0.0,24.0
0.0,86.5,0,0,3.0,0.0,0.0
15.0,84.6,400,0,3.0,0.0,0.0
0.0,86.6,0,0,3.8,1.0,0.0
0.0,86.6,0,12,3.8,1.0,0.0
0.0,94.4,0,0,0.0,0.5,0.0
0.0,87.0,0,0,3.1,0.6,0.0
16.0,87.0,250,10,3.1,0.6,0.0
16.0,87.0,250,10,3.1,0.6,40.0
16.0,87.0,250,10,3.1,0.6,63.0
16.0,87.0,250,10,3.1,0.6,100.0
16.0,87.0,250,10,3.1,0.6,126.0
0.0,93.4,0,0,0.0,5.0,0.0
0.0,92.4,0,0,0.0,5.0,0.0
0.0,92.4,0,0,0.0,5.0,0.0
0.0,92.4,0,0,0.0,5.0,0.0
18.0,95.16640218,420,0,3.534126452,1.29947137,0.0
18.0,86.41850106,420,0,9.930229289,3.651269652,0.0
18.0,78.71364167,420,0,15.56370323,5.7226551,0.0
0.0,86.20037978,0,0,8.933357352,4.866262867,0.0
0.0,86.20037978,0,10,8.933357352,4.866262867,0.0
0.0,86.20037978,0,4,8.933357352,4.866262867,0.0
0.0,86.20037978,0,14,8.933357352,4.866262867,0.0
20.0,98.05,350,24,0.36,1.59,0.0
20.0,98.05,300,24,0.36,1.59,0.0
20.0,94.28,350,24,1.06,4.66,0.0
20.0,94.28,300,24,1.06,4.66,0.0
20.0,84.02,350,24,2.95,13.03,0.0
20.0,84.02,300,24,2.95,13.03,0.0
0.0,90.01,0,0,1.91,8.08,0.0
0.0,90.89,0,0,2.99,6.12,0.0
0.0,87.85,0,0,5.9,6.25,0.0
0.0,90.11,0,0,6.06,3.83,0.0
0.0,89.99,0,0,6.93,3.08,0.0
10.0,90.64926713,366,0,6.836868439,2.513864435,0.0
10.0,86.97701301,250,10,2.679202469,10.34378452,0.0
10.0,81.43740929,250,10,3.412203968,15.15038674,0.0
10.0,95.61348304,350,10,1.775364686,2.611152275,0.0
10.0,93.91659531,350,10,3.505507725,2.577896965,0.0
10.0,92.26238673,350,10,5.1921352,2.545478073,0.0
10.0,90.64926713,350,10,6.836868439,2.513864435,0.0
10.0,89.07572437,350,10,8.441249214,2.483026418,0.0
10.0,87.54031962,350,10,10.00674456,2.452935823,0.0
10.0,91.84177647,350,10,6.891286722,1.266936812,0.0
10.0,90.64926713,350,10,6.836868439,2.513864435,0.0
10.0,89.47544395,350,10,6.78330287,3.741253176,0.0
10.0,88.31987116,350,10,6.730570128,4.949558713,0.0
10.0,87.18212639,350,10,6.67865094,6.139222666,0.0
26.9,93.91659531,330,15,3.505507725,2.577896965,0.0
0.0,96.8,0,0,0.6,2.0,0.0
0.0,95.2,0,0,0.9,3.0,0.0
0.0,93.6,0,0,1.2,4.0,0.0
0.0,96.8,0,0,0.6,2.0,20.0
0.0,95.2,0,0,0.9,3.0,20.0
0.0,93.6,0,0,1.2,4.0,20.0
0.0,93.27,0,0,1.78,3.12,0.0
0.0,92.36,0,0,2.13,3.42,0.0
0.0,91.17,0,0,2.51,4.08,0.0
0.0,90.02,0,0,2.83,4.66,0.0
0.0,94.9,0,0,0.9,3.0,0.0
25.0,94.9,270,0,0.9,3.0,0.0
25.0,94.9,270,0,0.9,3.0,16.0
9.0,96.5,300,0,0.0,0.0,0.0
9.0,96.5,300,0,0.0,0.0,8.0
9.0,96.3,300,0,0.0,0.2,0.0
9.0,96.3,300,0,0.0,0.2,8.0
9.0,96.0,300,0,0.0,0.5,0.0
9.0,96.0,300,0,0.0,0.5,8.0
0.0,96.2,0,0,0.0,0.6,0.0
0.0,96.2,0,0,0.0,0.6,0.0
0.0,96.2,0,0,0.0,0.6,12.0
0.0,96.2,0,0,0.0,0.6,16.0
0.0,96.2,0,0,0.0,0.6,0.0
8.0,97.21,290,0,0.0,0.11,0.0
8.0,96.69,350,0,0.0,0.2,0.0
0.0,96.293,0,0,0.0,0.164,0.0
25.0,96.293,250,0,0.0,0.164,0.0
25.0,96.293,350,0,0.0,0.164,0.0
25.0,96.293,450,0,0.0,0.164,0.0
25.0,96.293,250,0,0.0,0.164,10.0
25.0,96.293,350,0,0.0,0.164,10.0
25.0,96.293,450,0,0.0,0.164,10.0
10.0,93.61,390,0,0.0,5.65,0.0
10.0,92.59,390,0,0.92,5.69,0.0
10.0,92.72,390,0,1.17,5.43,0.0
10.0,91.83,390,0,1.72,5.72,0.0
10.0,91.04,390,0,2.57,5.57,0.0
10.0,89.98,390,0,3.69,5.47,0.0
0.0,92.78,0,0,1.4,5.15,0.0
16.0,92.78,380,0,1.4,5.15,0.0
11.0,91.7,450,29,5.1,2.6,0.0
11.0,90.1,450,29,4.7,4.6,0.0
11.0,88.9,450,29,4.4,6.1,0.0
25.0,93.5,450,29,0.0,6.01,0.0
25.0,92.73,450,29,0.96,5.94,0.0
25.0,90.7,450,29,3.59,5.3,0.0
25.0,90.04,450,29,4.74,4.61,0.0
18.0,91.98,210,0,1.39,6.63,0.0
10.0,86.98,400,0,2.68,10.34,0.0
10.0,81.61,400,0,3.22,15.17,0.0
0.0,95.8,0,0,0.6,3.0,0.0
0.0,95.8,0,8,0.6,3.0,0.0
0.0,95.8,0,0,0.6,3.0,0.0
0.0,95.8,0,0,0.6,3.0,24.0
14.0,97.46,265,24,0.0,2.54,0.0
14.0,97.46,400,24,0.0,2.54,0.0
14.0,94.65,265,24,0.0,5.35,0.0
14.0,94.65,400,24,0.0,5.35,0.0
14.0,96.53,280,24,0.0,2.53,0.0
14.0,96.53,400,24,0.0,2.53,0.0
14.0,96.53,500,24,0.0,2.53,0.0
14.0,93.95,280,24,0.0,5.14,0.0
14.0,93.95,400,24,0.0,5.14,0.0
14.0,93.95,420,24,0.0,5.14,0.0
14.0,96.44,300,24,0.88,2.68,0.0
14.0,96.44,400,24,0.88,2.68,0.0
14.0,96.44,450,24,0.88,2.68,0.0
14.0,94.26,300,24,0.67,5.07,0.0
14.0,94.26,400,24,0.67,5.07,0.0
14.0,94.26,420,24,0.67,5.07,0.0
0.0,90.64926643,0,0,6.836869155,2.513864416,0.0
0.0,82.44770743,0,0,12.83350945,4.718783117,0.0
0.0,75.19574223,0,0,18.13584609,6.668411682,0.0
42.0,90.64926643,450,0,6.836869155,2.513864416,0.0
0.0,90.09630037,0,0,6.807093794,2.502916244,0.0
42.0,90.09630037,450,0,6.807093794,2.502916244,0.0
9.0,82.44770743,450,12,12.83350945,4.718783117,0.0
0.0,90.64926643,0,0,6.836869155,2.513864416,0.0
10.0,90.64926643,350,0,6.836869155,2.513864416,0.0
10.0,92.0,300,18,1.5,6.0,0.0
10.0,92.0,350,18,1.5,6.0,0.0
10.0,92.0,400,18,1.5,6.0,0.0
10.0,92.0,300,18,1.5,6.0,48.0
10.0,92.0,350,18,1.5,6.0,48.0
10.0,92.0,400,18,1.5,6.0,48.0
0.0,96.7901,0,0,1.549,1.217,0.0
0.0,96.7901,0,10,1.549,1.217,0.0
16.8,96.7901,350,10,1.549,1.217,0.0
9.0,86.41850009,450,12,9.930230295,3.651269611,0.0
9.0,86.41850009,450,12,9.930230295,3.651269611,24.0
0.0,96.4,0,0,1.0,2.0,0.0
0.0,96.4,0,0,1.0,2.0,0.0
0.0,96.4,0,0,1.0,2.0,0.0
0.0,96.4,0,0,1.0,2.0,0.0
6.75,94.9,460,2,0.6,4.0,0.0
6.75,94.9,460,2,0.6,4.0,0.0
6.75,94.9,460,2,0.6,4.0,0.0
6.75,94.55,460,0,0.57,4.33,0.0
6.75,92.18,460,0,0.61,6.6,0.0
6.75,94.31,460,0,0.88,4.3,0.0
0.0,95.8,0,0,0.6,3.0,0.0
0.0,95.2,0,0,0.6,3.0,0.0
0.0,94.9,0,0,0.6,3.0,0.0
0.0,94.6,0,0,0.6,3.0,0.0
0.0,93.5,0,0,3.67,2.51,8.0
0.0,90.35,0,0,5.44,3.71,8.0
0.0,91.76,0,0,2.07,5.63,8.0
0.0,90.42,0,0,3.33,5.6,8.0
0.0,89.17,0,0,4.67,5.46,8.0
16.0,96.5,350,12,0.5,3.0,0.0
16.0,94.75,350,12,0.75,4.5,0.0
16.0,93.0,350,12,1.0,6.0,0.0
32.0,96.5,350,12,0.5,3.0,0.0
32.0,94.75,350,12,0.75,4.5,0.0
32.0,93.0,350,12,1.0,6.0,0.0
0.0,95.2,0,0,1.0,3.8,0.0
0.0,91.0,0,0,3.0,6.0,0.0
12.75,95.2,350,0,1.0,3.8,0.0
12.75,91.0,350,0,3.0,6.0,0.0
0.0,91.7,0,0,1.5,6.0,0.0
0.0,90.7,0,0,1.5,6.0,0.0
0.0,89.7,0,0,1.5,6.0,0.0
0.0,88.7,0,0,1.5,6.0,0.0
0.0,87.7,0,0,1.5,6.0,0.0
8.34,93.4,300,48,0.0,6.0,0.0
8.34,93.23,300,48,0.2,5.97,0.0
8.34,92.67,300,48,0.8,5.94,0.0
8.34,92.3,300,48,1.2,5.91,0.0
8.34,92.03,300,48,1.5,5.88,0.0
8.34,91.86,300,48,1.7,5.85,0.0
8.34,91.3,300,48,2.3,5.82,0.0
0.0,93.11,0,0,1.05,5.84,0.0
